Time ,Open,High,Low,Close,Change,Volume
2018-01-04,159.65,162.32,159.37,161.70,3.21,7556200
2018-01-03,157.34,159.81,156.33,158.49,4.24,9441500
2018-01-02,154.50,154.81,153.54,154.25,0.83,4202500
2017-12-29,154.17,154.72,153.42,153.42,-0.62,3327000
2017-12-28,153.20,154.12,153.20,154.04,0.91,2687600
2017-12-27,152.95,153.18,152.61,153.13,0.30,2149200
2017-12-26,152.51,153.86,152.50,152.83,0.33,2479000
2017-12-22,151.82,153.00,151.50,152.50,1.00,2990500
2017-12-21,153.17,153.46,151.49,151.50,-1.45,4153900
2017-12-20,153.65,153.89,152.78,152.95,-0.28,3785600
2017-12-19,154.05,154.17,153.09,153.23,-0.10,4116400
2017-12-18,153.59,154.18,153.21,153.33,0.83,5092800
2017-12-15,153.61,153.80,152.03,152.50,-1.50,11279800
2017-12-14,154.60,155.11,153.70,154.00,0.09,4637400
2017-12-13,156.60,156.73,153.89,153.91,-2.83,5661600
2017-12-12,155.20,157.85,155.16,156.74,1.33,6321800
2017-12-11,154.97,155.89,154.57,155.41,0.60,4102700
2017-12-08,153.94,155.03,153.55,154.81,1.24,3520200
2017-12-07,154.03,154.45,153.26,153.57,-0.53,3771400
2017-12-06,155.69,156.22,154.09,154.10,-1.25,3410700
2017-12-05,156.45,156.74,154.68,155.35,-1.11,5068000
2017-12-04,155.67,156.80,155.07,156.46,1.70,4664300
2017-12-01,154.40,155.02,152.91,154.76,0.79,5567800
2017-11-30,153.65,154.41,153.08,153.97,0.42,6500700
2017-11-29,152.81,153.61,152.17,153.55,1.08,5098700
2017-11-28,152.35,152.93,151.70,152.47,0.49,3973600
2017-11-27,152.06,152.49,151.62,151.98,0.14,3374000
2017-11-24,151.95,152.20,151.33,151.84,0.07,1193000
2017-11-22,152.00,152.39,151.33,151.77,-0.18,3213500
2017-11-21,151.30,152.45,151.20,151.95,1.44,3756100
2017-11-20,150.64,151.95,149.90,150.51,1.54,5676400
2017-11-17,149.34,150.15,148.83,148.97,-0.15,4916500
2017-11-16,147.73,149.65,147.50,149.12,2.02,5446400
2017-11-15,148.00,148.71,146.21,147.10,-1.79,4773300
2017-11-14,147.95,148.97,147.49,148.89,0.49,3757900
2017-11-13,148.88,149.00,147.92,148.40,-0.76,5107500
2017-11-10,150.65,150.89,149.14,149.16,-1.14,4307200
2017-11-09,149.93,151.80,149.86,150.30,-1.27,4776500
2017-11-08,151.60,151.79,150.28,151.57,0.22,4634400
2017-11-07,151.37,151.51,150.50,151.35,0.51,3701000
2017-11-06,151.77,151.82,150.28,150.84,-0.74,4498800
2017-11-03,153.42,153.47,151.49,151.58,-1.77,4431800
2017-11-02,154.18,154.49,152.91,153.35,-0.68,3397600
2017-11-01,154.10,154.90,153.83,154.03,-0.03,3240200
2017-10-31,154.33,154.93,152.93,154.06,-0.30,4328200
2017-10-30,153.76,154.59,152.71,154.36,0.68,4210400
2017-10-27,154.53,154.63,152.91,153.68,0.08,4895100
2017-10-26,154.31,155.12,153.54,153.60,0.10,4300500
2017-10-25,156.01,156.37,153.06,153.50,-2.38,6921100
2017-10-24,159.65,159.70,155.17,155.88,-3.67,8194600
2017-10-23,162.03,162.51,159.54,159.55,-2.52,5779300
2017-10-20,161.07,162.48,159.77,162.07,1.17,7868800
2017-10-19,159.80,160.96,159.09,160.90,1.37,9914100
2017-10-18,157.13,161.23,156.95,159.53,12.99,30490100
2017-10-17,146.63,147.12,146.18,146.54,-0.29,6372300
2017-10-16,147.31,147.67,146.51,146.83,-0.27,3052000
2017-10-13,147.48,147.85,146.94,147.10,0.07,2506500
2017-10-12,147.61,147.89,146.77,147.03,-0.59,3264300
